13.855 -0.997671 -0.912205 -0.8454 -0.997333 -0.490007 -0.842833 -0.0168805 -0.485827 0.460302 -0.012092 0.826888 0.464548 0.9948 0.829572
13.905 -0.996428 -0.839208 -0.916852 -0.996821 -0.616985 -0.91493 -0.168877 -0.61321 0.319808 -0.164154 0.731653 0.324342 0.967705 0.734909
13.955 -0.971964 -0.746654 -0.966937 -0.973079 -0.729585 -0.965704 -0.316937 -0.726301 0.171861 -0.312391 0.619366 0.176576 0.918057 0.623119
14.005 -0.924848 -0.636698 -0.994487 -0.926659 -0.825181 -0.993973 -0.457611 -0.822467 0.0199084 -0.453348 0.492645 0.0246962 0.847014 0.496807
14.055 -0.856179 -0.511904 -0.99886 -0.858643 -0.901547 -0.999077 -0.587621 -0.899465 -0.132508 -0.583739 0.354442 -0.12776 0.756232 0.358916
14.105 -0.767556 -0.375181 -0.979955 -0.770617 -0.956902 -0.980898 -0.703936 -0.9555 -0.281836 -0.700526 0.20798 -0.277238 0.647825 0.212662
14.155 -0.661045 -0.229713 -0.938212 -0.664631 -0.989956 -0.939859 -0.803846 -0.989268 -0.424596 -0.800988 0.0566704 -0.420255 0.524321 0.061451
14.205 -0.539129 -0.0788927 -0.874604 -0.543156 -0.99994 -0.876916 -0.885022 -0.999981 -0.557461 -0.882782 -0.0959599 -0.553479 0.388597 -0.0911919
14.255 -0.404648 0.0737667 -0.790614 -0.409023 -0.98662 -0.793537 -0.945572 -0.987389 -0.677334 -0.944003 -0.246354 -0.673803 0.243818 -0.24171
14.305 -0.260737 0.224707 -0.688198 -0.265357 -0.950306 -0.691664 -0.984087 -0.951786 -0.781422 -0.983224 -0.391006 -0.778425 0.0933556 -0.386594
14.355 -0.110749 0.37041 -0.569743 -0.115507 -0.891846 -0.573672 -0.999666 -0.894002 -0.867299 -0.999531 -0.526547 -0.864905 -0.0592819 -0.522469
14.405 0.0418195 0.507481 -0.438011 0.0370343 -0.812601 -0.442311 -0.991949 -0.815383 -0.932963 -0.992544 -0.649816 -0.931228 -0.210538 -0.646168
14.455 0.193414 0.632725 -0.296071 0.188713 -0.714419 -0.300642 -0.961114 -0.717761 -0.976885 -0.962426 -0.757941 -0.97585 -0.356887 -0.754808
14.505 0.3405 0.743224 -0.147231 0.335993 -0.599587 -0.151966 -0.907881 -0.603412 -0.99804 -0.909878 -0.848402 -0.997729 -0.49492 -0.845857
14.555 0.479651 0.836402 0.00504066 0.475444 -0.470781 0.000251713 -0.833489 -0.475001 -0.995936 -0.836125 -0.919091 -0.996356 -0.621418 -0.917193
14.605 0.607624 0.910087 0.157194 0.603814 -0.331004 0.152463 -0.739673 -0.335519 -0.970621 -0.742887 -0.968361 -0.971763 -0.733433 -0.967154
14.655 0.721436 0.962562 0.305685 0.718112 -0.183513 0.301122 -0.628618 -0.188218 -0.922687 -0.632336 -0.995063 -0.924523 -0.828357 -0.994576
14.705 0.818435 0.992605 0.447051 0.815674 -0.031745 0.442762 -0.502914 -0.0365312 -0.853249 -0.507048 -0.998575 -0.855736 -0.903975 -0.998819
14.755 0.896361 0.999516 0.577999 0.894227 0.120763 0.574085 -0.365489 0.116007 -0.763926 -0.369943 -0.978815 -0.767007 -0.958526 -0.979784
14.805 0.953396 0.983132 0.695477 0.951941 0.270456 0.692028 -0.219547 0.265842 -0.656799 -0.224216 -0.936244 -0.660403 -0.990739 -0.937916
