0.41 0.997291 0.498358 0.997059 0.505551 0.997861 0.498884 0.998704 0.514532 0.99883 0.520916 0.999135 0.518204 0.99912 0.535392 0.999208 0.542773 0.999207 0.539869 0.999087 0.556767 0.999143 0.564922 0.999062 0.561432 0.998846 0.57709 0.998899 0.586495 0.99874 0.582066 0.998459 0.59205 0.998476 0.604818 0.9983 0.595368 0.999522 0.004372 0.999661 0.00575089
0.45 0.997282 0.568161 0.996987 0.577605 0.997885 0.568531 0.998753 0.582845 0.99889 0.5911 0.9992 0.58611 0.999178 0.601804 0.999272 0.610913 0.999263 0.60583 0.999132 0.621058 0.999189 0.630808 0.99909 0.625237 0.998852 0.639077 0.998902 0.649901 0.998705 0.643491 0.9984 0.651936 0.998387 0.665631 0.998168 0.654442 0.999237 0.00561082 0.999452 0.00726636
0.49 0.997283 0.631576 0.996927 0.642827 0.99791 0.63185 0.998788 0.644472 0.998935 0.654184 0.99925 0.647323 0.999221 0.661174 0.999321 0.671543 0.999306 0.664724 0.999165 0.678014 0.999224 0.688854 0.999108 0.681692 0.998851 0.693557 0.998896 0.705257 0.998661 0.697406 0.998337 0.704311 0.99829 0.718379 0.998025 0.706102 0.998799 0.00713613 0.999126 0.00910692
0.53 0.997291 0.687463 0.996877 0.699917 0.997933 0.687685 0.998809 0.698493 0.998967 0.709133 0.999286 0.70095 0.99925 0.712856 0.999357 0.723946 0.999336 0.715941 0.999186 0.727256 0.999248 0.738648 0.999116 0.730451 0.998841 0.740382 0.998882 0.752426 0.998608 0.743701 0.998268 0.749184 0.998182 0.763137 0.99787 0.750382 0.998134 0.00899664 0.998627 0.011323
0.57 0.997302 0.735575 0.996836 0.748614 0.997953 0.73577 0.998818 0.744821 0.998986 0.755865 0.999309 0.746919 0.999267 0.756951 0.999382 0.768264 0.999357 0.759606 0.999197 0.769066 0.999262 0.780535 0.999114 0.771815 0.998823 0.779982 0.998858 0.791925 0.998544 0.782819 0.998194 0.787065 0.998062 0.800529 0.997701 0.787793 0.997135 0.0112448 0.997868 0.013968
0.61 0.997314 0.776288 0.996803 0.789379 0.997969 0.77647 0.998816 0.783924 0.998996 0.794935 0.999322 0.785703 0.999273 0.794042 0.999398 0.805179 0.999368 0.796311 0.999199 0.804118 0.999268 0.815302 0.999103 0.806471 0.998796 0.813101 0.998825 0.82462 0.998471 0.815517 0.998113 0.818726 0.99793 0.831452 0.997519 0.819097 0.995655 0.0139358 0.996732 0.0170967
0.65 0.997326 0.810335 0.996776 0.823074 0.997979 0.810509 0.998805 0.816575 0.998996 0.827232 0.999326 0.818079 0.99927 0.824948 0.999405 0.835628 0.999371 0.826879 0.999192 0.833269 0.999265 0.843922 0.999085 0.835276 0.998761 0.84061 0.998784 0.851498 0.998387 0.842664 0.998025 0.845032 0.997786 0.856881 0.997321 0.845139 0.993494 0.0171258 0.995056 0.0207632
0.69 0.997337 0.838595 0.996756 0.850716 0.997986 0.838763 0.998786 0.84366 0.998988 0.853756 0.999323 0.84493 0.99926 0.850558 0.999406 0.860609 0.999368 0.852199 0.999178 0.857404 0.999256 0.867383 0.999059 0.859114 0.99872 0.863379 0.998734 0.873525 0.998293 0.865125 0.997931 0.866824 0.997629 0.877743 0.997108 0.866744 0.990393 0.0208691 0.992624 0.0250176
0.73 0.997345 0.861959 0.996741 0.873309 0.997987 0.862121 0.998762 0.866053 0.998974 0.875476 0.999314 0.867125 0.999243 0.871726 0.9994 0.881065 0.999359 0.873122 0.999158 0.877351 0.999241 0.886595 0.999027 0.87881 0.998671 0.882206 0.998677 0.891572 0.99819 0.883695 0.997829 0.884868 0.997459 0.894864 0.996881 0.884659 0.98603 0.025215 0.989167 0.0299012
0.77 0.997352 0.881251 0.99673 0.891764 0.997985 0.881405 0.998732 0.884553 0.998955 0.89326 0.999299 0.88546 0.999221 0.889221 0.99939 0.897823 0.999345 0.890411 0.999131 0.893845 0.999221 0.902346 0.998989 0.895093 0.998616 0.897789 0.998612 0.906384 0.998077 0.899062 0.99772 0.899827 0.997277 0.908944 0.996637 0.899535 0.980024 0.0302023 0.984358 0.0354405
0.81 0.997356 0.897194 0.996724 0.906862 0.99798 0.897339 0.998698 0.899855 0.998931 0.907849 0.99928 0.900624 0.999194 0.903702 0.999376 0.911586 0.999327 0.904719 0.9991 0.90751 0.999196 0.915295 0.998945 0.908582 0.998555 0.910716 0.998541 0.918579 0.997955 0.91181 0.997605 0.912262 0.997081 0.920565 0.996379 0.911918 0.97197 0.0358527 0.977839 0.0416401
0.85 0.997356 0.910397 0.996721 0.919254 0.997971 0.910533 0.998661 0.912543 0.998903 0.919858 0.999256 0.913197 0.999162 0.915724 0.999357 0.922929 0.999305 0.916596 0.999064 0.918868 0.999167 0.925983 0.998896 0.919792 0.998488 0.921477 0.998462 0.928663 0.997825 0.922423 0.997483 0.922633 0.996874 0.930196 0.996105 0.922261 0.961489 0.0421642 0.969262 0.0484738
0.89 0.997354 0.921369 0.996721 0.929468 0.99796 0.921495 0.998622 0.9231 0.998872 0.929786 0.999229 0.923658 0.999127 0.925739 0.999336 0.932321 0.99928 0.926491 0.999024 0.928345 0.999135 0.934848 0.998843 0.929145 0.998417 0.930472 0.998378 0.937042 0.997687 0.931294 0.997355 0.93132 0.996654 0.938219 0.995816 0.930936 0.948306 0.0491031 0.958353 0.0558778
0.93 0.997349 0.930523 0.996724 0.937927 0.997947 0.93064 0.998581 0.931921 0.998838 0.938033 0.999199 0.9324 0.999089 0.93412 0.999311 0.940137 0.999251 0.934771 0.99898 0.936288 0.999098 0.942237 0.998786 0.936984 0.99834 0.938024 0.998288 0.94404 0.997541 0.938742 0.997221 0.938628 0.996422 0.944936 0.995512 0.938244 0.932348 0.0565992 0.944997 0.0637464
0.97 0.99734 0.938195 0.996728 0.944972 0.997932 0.938303 0.998539 0.939326 0.998802 0.944921 0.999166 0.939738 0.999048 0.941166 0.999284 0.946676 0.99922 0.941732 0.998932 0.942976 0.999059 0.94843 0.998725 0.943586 0.998259 0.944394 0.998192 0.949916 0.997387 0.945027 0.99708 0.944806 0.996179 0.950591 0.995194 0.94443 0.913825 0.064545 0.929315 0.0719345
1.01 0.997328 0.944657 0.996733 0.950872 0.997915 0.944756 0.998496 0.945571 0.998764 0.950706 0.999131 0.945929 0.999006 0.947118 0.999254 0.952176 0.999186 0.947613 0.998882 0.948635 0.999017 0.953649 0.99866 0.949172 0.998174 0.949795 0.998091 0.954879 0.997227 0.950355 0.996934 0.950053 0.995925 0.955377 0.994862 0.949689 0.893259 0.072801 0.911701 0.080267
1.05 0.997311 0.950126 0.996738 0.95584 0.997895 0.950217 0.998453 0.950865 0.998725 0.95559 0.999093 0.951177 0.998961 0.952172 0.999222 0.956829 0.99915 0.952607 0.998829 0.953448 0.998972 0.958072 0.998592 0.953923 0.998085 0.954396 0.997985 0.959092 0.997059 0.954896 0.996783 0.954532 0.995659 0.959449 0.994516 0.954183 0.871428 0.0812089 0.892796 0.0885567
1.09 0.997289 0.954777 0.996742 0.960047 0.997874 0.954862 0.998409 0.955375 0.998684 0.959737 0.999054 0.955648 0.998915 0.956484 0.999189 0.960786 0.999112 0.956869 0.998773 0.957561 0.998925 0.96184 0.998521 0.957984 0.997992 0.958334 0.997875 0.962687 0.996886 0.958784 0.996626 0.958372 0.995384 0.962932 0.994157 0.958042 0.849248 0.0896078 0.873387 0.0966249
1.13 0.997262 0.958754 0.996744 0.96363 0.997851 0.958832 0.998364 0.959237 0.998641 0.963277 0.999013 0.959476 0.998867 0.96018 0.999153 0.96417 0.999072 0.960523 0.998715 0.961093 0.998876 0.965066 0.998447 0.961472 0.997896 0.961722 0.99776 0.965772 0.996706 0.962129 0.996464 0.961681 0.995098 0.965926 0.993784 0.961369 0.827612 0.0978522 0.854275 0.104321
1.17 0.99723 0.962169 0.996744 0.966697 0.997825 0.962241 0.998319 0.962558 0.998598 0.966315 0.99897 0.96277 0.998818 0.963365 0.999116 0.967077 0.99903 0.963671 0.998655 0.964141 0.998824 0.967844 0.99837 0.964482 0.997797 0.96465 0.997641 0.968432 0.99652 0.96502 0.996296 0.964545 0.994803 0.968512 0.9934 0.964251 0.807261 0.105825 0.83615 0.111534
1.21 0.997192 0.965117 0.996741 0.969335 0.997797 0.965183 0.998274 0.965428 0.998553 0.968934 0.998926 0.965617 0.998769 0.966122 0.999076 0.969588 0.998987 0.966397 0.998594 0.966782 0.998771 0.970246 0.99829 0.967091 0.997694 0.967191 0.997518 0.970736 0.996329 0.96753 0.996125 0.967035 0.994499 0.970756 0.993003 0.966758 0.788709 0.113444 0.819519 0.118198
1.25 0.997149 0.967673 0.996736 0.971617 0.997767 0.967734 0.998228 0.96792 0.998507 0.971203 0.998881 0.96809 0.998718 0.968518 0.999036 0.971767 0.998942 0.968766 0.99853 0.969081 0.998715 0.972333 0.998208 0.969362 0.997589 0.969406 0.997391 0.972741 0.996133 0.969718 0.995948 0.969207 0.994187 0.972712 0.992596 0.968948 0.772232 0.120663 0.804677 0.124287
1.29 0.997102 0.969898 0.996728 0.973599 0.997736 0.969954 0.998181 0.970093 0.998461 0.973178 0.998834 0.970245 0.998668 0.970609 0.998994 0.973666 0.998895 0.970835 0.998465 0.971091 0.998658 0.974155 0.998124 0.971348 0.99748 0.971345 0.997262 0.974493 0.995932 0.971634 0.995768 0.971111 0.993866 0.974424 0.992177 0.970869 0.757906 0.127466 0.79174 0.129808
